bars,percent,magnitude,group_number,direction
1,0.66,280,1,0
1,0.9,300,2,0
1,0.99,116,3,0
1,0.2,115,4,1
1,0.99,150,5,1
1,0.99,150,6,1
1,0.99,150,7,1
1,0.15,192,8,1
1,0.4,241,9,0
1,0.58,277,10,0
1,0.5,133,11,1
1,0.95,235,12,1
1,0.15,173,13,0
1,0.4,247,14,1
1,0.15,135,15,0
1,0.1,203,16,1
1,0.2,176,17,0
1,0.8,349,18,1
1,0.2,133,19,1
1,0.25,127,20,1
1,0.7,176,21,1
1,0.9,319,22,1
1,0.66,333,23,0
1,0.56,290,24,1
1,0.08,144,25,0
1,0.66,194,26,1
1,0.7,257,27,1
1,0.47,217,28,0
1,0.17,264,29,1
1,0.32,189,30,0
1,0.8,136,31,1
1,0.8,297,32,0
1,0.33,212,33,1
1,0.8,127,34,0
1,0.8,329,35,1
1,0.03,257,36,1
1,0.66,479,37,1
1,0.4,616,38,1
1,0.78,314,39,1
1,0.66,457,40,0
1,0.2,276,41,1
1,0.8,489,42,1
1,0.3,483,43,1
1,0.9,686,44,0
1,0.88,525,45,0
1,0.5,167,46,1
1,0.25,303,47,0
1,0.48,260,48,0
1,0.5,300,49,1
1,0.5,426,50,0
1,0.4,242,51,1
1,0.7,301,52,0
1,0.43,271,53,0
1,0.15,282,54,1
1,0.01,153,55,1
1,0.05,165,56,0
1,0.25,132,57,1
